    MJD        PKS-TID          NSITE  Date and comments

  44000.0       0.000             7    
 48811.00       1.941             7    080792
 48812.00       2.036             7    090792
 48813.00       2.204             7    100792
 48814.00       2.304             7    110792
 48815.00       2.400             7    120792
 48816.00       2.471             7    130792
 48817.00       2.565             7    140792
 48818.00       2.619             7    150792
 48820.00       2.326             7    170792
 48821.00       2.399             7    180792
 48822.00       2.495             7    190792
 48823.00       2.578             7    200792
 48824.00       2.663             7    210792
 48825.00       2.743             7    220792
 48826.00       2.825             7    230792
 48827.00       2.906             7    240792
 48828.00       2.987             7    250792
 48829.00       3.078             7    260792
 48830.00       3.162             7    270792
 48831.00       3.253             7    280792
 48832.00       3.356             7    290792
 48833.00       3.458             7    300792
 48834.00       3.547             7    310792
 48835.00       3.631             7    010892
 48850.00       4.818             7    160892
 48851.00       4.858             7    170892
 48852.00       4.916             7    180892
 48853.00       4.981             7    190892
 48866.00       6.933             7    010992
 48867.00       7.193             7    020992
 48868.00       7.364             7    030992
 48869.00       7.701             7    040992
 48870.00       7.944             7    050992
 48871.00       8.178             7    060992
 48872.00       8.418             7    070992
 48873.00       8.523             7    080992
 48874.00       8.208             7    090992
 48875.00       8.736             7    100992
 48876.00       9.289             7    110992
 48877.00       9.457             7    120992
 48878.00       9.690             7    130992
 48879.00       9.910             7    140992
 48880.00      10.123             7    150992
 48881.00      10.350             7    160992
 48882.00       6.562             7    170992
 48883.00       0.279             7    180992
 48884.00       0.246             7    190992
 48885.00       0.238             7    200992
 48886.00       0.230             7    210992
 48887.00       0.221             7    220992
 48888.00       0.213             7    230992
 48889.00       0.214             7    240992
 48894.00      -8.635             7    290992
 48895.00       3.528             7    300992
 48896.00       8.560             7    011092
 48897.00       0.542             7    021092
 48927.00       1.361             7    011192
 48928.00       1.692             7    021192
 48929.00       2.043             7    031192
 48930.00       2.167             7    041192
 48932.00       2.145             7    061192
 48933.00       2.459             7    071192
 48934.00       2.731             7    081192
 48935.00       3.002             7    091192
 48936.00       3.308             7    101192
 48937.00       3.691             7    111192
 48938.00       4.166             7    121192
 48939.00       4.549             7    131192
 48940.00       4.852             7    141192
 48941.00       5.246             7    151192
 48942.00       5.649             7    161192
 48957.00      11.949             7    011292
 48958.00      12.326             7    021292
 48959.00      12.737             7    031292
 48960.00      13.133             7    041292
 48961.00      13.564             7    051292
 48962.00      13.937             7    061292
 48963.00      14.294             7    071292
 48964.00       9.020             7    081292
 48965.00       2.654             7    091292
 48966.00       1.023             7    101292
 48967.00       1.351             7    111292
 48968.00       2.258             7    121292
 48969.00       2.297             7    131292
 48970.00       3.341             7    141292
 48971.00       2.248             7    151292
 48999.00       8.519             7    120193
 49000.00       8.913             7    130193
 49001.00       9.263             7    140193
 49002.00       9.655             7    150193
 49007.00      11.652             7    200193
 49008.00      12.016             7    210193
 49009.00      12.388             7    220193
 49010.00      12.755             7    230193
 49011.00      13.119             7    240193
 49012.00      13.485             7    250193
 49013.00      13.858             7    260193
