  382645.48     795054.53        798.5            GREEN BANK          1  GB
  422333.2      722040.4         306.             QUABBIN             2  QU
  2390490.0     -5564764.0      1994727.0      1  ARECIBO XYZ (JPL)   3  AO
  -424818.0     -1472621.0      50.0              Hobart, Tasmania    4  HO
  402047.7      743853.85         43.             PRINCETON           5  PR
 -1601192.     -5041981.4       3554871.4      1  VLA XYZ             6  VL
 -330000.04    -1481542.00       392.0            PARKES              7  PK
 3822252.643   -153995.683      5086051.443    1  JODRELL BANK        8  JB
  382546.30     795056.36        893.7            GB 300FT            9  G3
  382615.409    795009.613       880.87           GB 140FT            a  G1
  382545.90     795036.87        835.8            GB 85-3             b  G8
  340443.497   1073703.819      2124.             VLA SITE            c  V2
  443118.48    -113848.48         25.             NORTHERN CROSS      d  BO
 -352219.00    -1492525.00       500.0            MOST                e  MO
 4324165.81     165927.11       4670132.83     1  Nancay              f  NC
 4033949.5      486989.4        4900430.8      1  Effelsberg          g  EF
  531412.        21824.           78.             JODRELL BANK        h  JB
  332235.      1171501.            0.             Fallbrook           i  FB
